,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Label
25092,392078,111,-39,-950,-72,92,-969,291,9,-912,0
111076,1735578,-101,1029,69,145,972,30,-106,1000,-155,1
138566,2165109,-474,911,128,827,333,323,553,828,194,1
98304,1536015,-121,1029,69,36,1000,90,-58,1009,-135,1
65927,1030125,-30,1058,108,200,898,-252,-213,961,-184,1
160203,2503187,-333,950,49,0,870,111,-29,809,-58,1
115694,1807734,-262,1019,99,190,953,181,-67,990,-58,1
5697,89031,111,-19,-940,-81,64,-959,320,0,-932,0
137728,2152015,-515,892,118,818,370,292,533,819,194,1
102165,1596343,-292,980,237,863,333,161,456,885,155,1
191946,2999171,252,9,-930,72,37,-989,446,-257,-844,0
66982,1046609,-90,1029,49,-36,990,70,-58,1009,-97,1
85620,1337828,-101,1029,79,27,972,121,-58,1019,-77,1
152471,2382375,-151,1039,108,90,981,70,-126,1009,-145,0
142448,2225765,-474,901,138,818,342,303,543,819,203,1
32983,515375,171,950,346,854,435,292,-844,714,-203,0
26509,414218,131,-29,-950,-63,74,-979,291,9,-932,0
146068,2282328,-60,1009,79,54,1009,10,-67,1019,-97,1
50344,786640,-121,1039,118,136,972,-10,9,1019,-58,1
136948,2139828,-424,901,306,827,296,313,446,847,330,1
11170,174546,111,-19,-960,-72,74,-979,330,0,-932,0
98520,1539390,-1797,1088,-1059,1172,990,40,-135,1142,-194,1
157408,2459515,-101,558,178,-263,879,50,19,847,-194,1
118631,1853625,-242,970,237,800,287,424,359,904,271,1
192885,3013843,282,-19,-930,63,27,-979,417,-266,-844,0
139726,2183234,-464,921,118,818,351,313,572,828,184,1
139305,2176656,-484,911,138,809,351,333,553,819,194,1
115093,1798343,-282,1058,39,145,1046,262,9,1019,-184,1
70141,1095968,-191,1068,128,245,907,111,48,980,-135,1
80580,1259078,-131,1029,108,27,990,111,-58,1019,-77,1
149841,2341281,40,1039,49,127,972,-40,9,1009,-126,0
54901,857843,-101,441,455,-281,1611,151,77,1142,-165,1
120517,1883093,-262,950,247,790,277,383,417,857,330,1
70451,1100812,70,1088,-19,154,870,303,-398,809,-145,1
61778,965296,-171,941,415,836,342,252,349,857,417,1
163347,2552312,-131,1049,39,-45,1000,20,-58,1009,-87,1
195403,3053187,222,166,-930,54,46,-969,407,-257,-844,0
183688,2870140,-141,1029,59,27,981,50,-58,1000,-97,1
120282,1879421,-232,990,247,800,277,404,368,885,271,1
15568,243265,111,-39,-940,-90,83,-1000,291,9,-912,0
83062,1297859,-121,1029,108,27,981,121,-38,1028,-48,1
96912,1514265,-252,1147,79,236,1027,80,-77,961,-48,1
123244,1925703,-232,990,267,800,287,404,359,895,291,1
167691,2620187,212,578,128,-236,1027,-40,0,1028,-184,1
50287,785750,-131,1039,138,136,990,0,19,1019,-29,1
83043,1297562,-111,1029,99,27,990,111,-9,1000,-29,1
195033,3047406,-60,-39,-970,63,37,-979,398,-247,-864,0
123904,1936015,-252,1009,237,790,305,404,349,904,291,1
26136,408390,121,-19,-950,-72,64,-959,281,-9,-932,0
98912,1545515,212,1009,19,-109,1009,20,-97,1028,-213,1
168253,2628968,373,529,-158,-27,861,80,-19,914,-184,1
86120,1345640,-353,509,594,36,861,-20,9,847,-184,1
140287,2192000,-464,911,148,818,333,323,553,809,174,1
168990,2640484,-363,754,277,-290,962,-90,0,933,-126,1
148299,2317187,-90,1039,79,36,1000,40,-19,1009,-116,0
168146,2627296,-111,1000,108,-118,1027,232,-67,1095,-19,1
80895,1264000,-121,1019,128,9,981,121,-48,1000,-67,1
188186,2940421,-262,1009,59,809,481,-10,77,1009,-77,0
37296,582765,-90,1029,99,90,990,-10,29,1000,-48,0
119966,1874484,-242,990,257,809,277,424,349,923,271,1
113138,1767796,-494,1176,-178,-27,787,232,58,866,-145,1
