,Study,Run,vconst_corr,vconst_2,vconst_3,vconst_4,vconst_5,vconst_7,ah_corr,ah_bolus,slm_corr,efficiency_factor,tidal_mix_max,vertical_decay_scale,convect_corr,bckgrnd_vdc1,bckgrnd_vdc_ban,bckgrnd_vdc_eq,bckgrnd_vdc_psim,Prandtl,Label
0,1,1,0.859036206,0.9278245359999999,0.252865622,0.298838311,0.1705213,0.735936041,0.42832542799999995,0.5679469420000001,0.4743696,0.245674855,0.104225865,0.869090703,0.997518496,0.448620077,0.307521787,0.858310365,0.79699724,0.869893038,0
1,1,2,0.606041025,0.45772836299999997,0.35944842299999996,0.306957377,0.843330767,0.9348506609999999,0.444572488,0.828014925,0.296617753,0.616869902,0.9757855809999999,0.914343667,0.8452471420000001,0.864151868,0.34671268899999996,0.356573417,0.43844718899999996,0.512256144,1
2,1,3,0.997599777,0.373238487,0.517399356,0.504992546,0.618903336,0.605570823,0.74622533,0.195928292,0.815666935,0.6793550279999999,0.8034130759999999,0.643995161,0.718441133,0.924775074,0.315371406,0.25064237100000003,0.285635527,0.365857964,1
3,1,4,0.7834078590000001,0.10405531400000001,0.197532695,0.42183715899999996,0.742055668,0.49082788200000005,0.005525436999999999,0.39212326700000005,0.010014895,0.47146270000000007,0.597878903,0.761658752,0.362750561,0.912819094,0.977971175,0.845921227,0.6994309320000001,0.475986735,1
4,1,5,0.406249531,0.513199297,0.061811577,0.6358367189999999,0.844797517,0.441502227,0.19192645100000003,0.48754611600000003,0.358533581,0.551543235,0.7438765190000001,0.312349434,0.650222833,0.522261016,0.043544765,0.376660111,0.280097759,0.132282876,1
5,1,6,0.04137947,0.629025938,0.303380105,0.813407572,0.222817123,0.971206033,0.60977829,0.647803859,0.737913873,0.440943207,0.035982366,0.6158676670000001,0.017487184,0.932319515,0.32931803800000004,0.954122776,0.135378915,0.29480479600000004,1
6,1,7,0.16105006800000002,0.548838498,0.153583456,0.6544153970000001,0.140346213,0.796645887,0.405839624,0.662635625,0.049426685,0.578519494,0.26485468300000004,0.959217373,0.698106832,0.46735894899999997,0.637077696,0.011251331000000002,0.14732515699999998,0.21381424699999999,1
7,1,8,0.41529898600000004,0.898731363,0.931821763,0.9166479390000001,0.399105638,0.009445115,0.84625746,0.68377254,0.39730645700000006,0.886768087,0.522427847,0.694773565,0.8865223179999999,0.411672883,0.481108054,0.92654637,0.02643087,0.09273955199999999,1
8,1,9,0.166757878,0.35297185600000003,0.9881206109999999,0.287070317,0.5636256,0.402707875,0.380931733,0.47919123799999996,0.060165294,0.236524445,0.290483708,0.391833072,0.254944302,0.488399586,0.053683565,0.862225604,0.41505513899999996,0.487125899,1
9,1,10,0.655626079,0.413930717,0.8052884779999999,0.163485864,0.861901695,0.947594532,0.546563676,0.426141006,0.417080309,0.945609574,0.32538750899999996,0.666526808,0.374270055,0.100291351,0.21329028,0.222859671,0.007286213000000001,0.420027362,1
10,1,11,0.5900079770000001,0.293692412,0.423497844,0.329803463,0.4578377,0.829782296,0.497766735,0.15944033400000002,0.971121865,0.492342538,0.084268972,0.974333948,0.926423909,0.295425919,0.804212452,0.870840009,0.546295023,0.8848710790000001,1
11,1,12,0.8819290790000001,0.424916157,0.903222367,0.17330591399999998,0.791005372,0.47618352399999997,0.681175841,0.9058438520000001,0.8284154659999999,0.08371732900000001,0.520566651,0.07291534599999999,0.948094685,0.9996158909999999,0.728459115,0.285888356,0.21088964300000002,0.833589868,1
12,1,13,0.9610102620000001,0.9769068059999999,0.8579287729999999,0.6149712270000001,0.615515929,0.352769204,0.833960006,0.095091749,0.230892542,0.954833278,0.577181749,0.78351143,0.530424645,0.17516976399999998,0.544458264,0.081392441,0.733014883,0.531368855,0
13,1,14,0.172529525,0.013556374,0.623446508,0.519135859,0.254456363,0.366947346,0.055695644,0.51850145,0.371256629,0.853783565,0.347039855,0.9473467320000001,0.597281032,0.428806485,0.401369982,0.82044557,0.599584286,0.135680676,1
14,1,15,0.39651355899999996,0.20124125,0.96810764,0.836439982,0.609976638,0.244681982,0.788270514,0.356016875,0.125054,0.5101025889999999,0.40396596799999995,0.8656119109999999,0.499515991,0.589648486,0.014997916000000002,0.893354828,0.562122469,0.028448737,1
