,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Label
105815,1653375,272,960,336,772,472,363,-932,419,38,0
38196,596828,-80,1019,207,100,990,50,-58,1019,-19,1
12601,196906,676,774,99,790,398,30,766,-57,-611,0
64366,1005734,30,1029,267,227,972,90,-203,961,-77,2
10209,159531,505,205,-821,-18,18,-979,776,-66,-611,0
69418,1084671,-191,882,257,-254,1074,-20,-155,1333,-320,2
25032,391140,111,970,396,800,481,131,67,961,330,0
13255,207125,-90,1009,237,109,972,111,-1165,-323,252,0
21867,341687,252,882,475,781,435,202,48,990,262,0
64013,1000218,-262,1088,237,163,1037,141,-194,1000,-165,2
94513,1476781,10,901,554,718,574,262,58,990,213,0
78448,1225765,10,970,396,700,648,161,242,857,504,0
16332,255203,-101,1029,188,100,981,60,-87,1028,-38,0
31208,487640,-1696,1068,396,1290,1111,-222,-19,1047,67,1
38408,600140,-50,1029,188,136,990,30,-38,1028,-58,1
90746,1417921,656,2088,148,1145,1425,-191,-291,895,48,1
63088,985765,-20,862,594,627,620,373,155,847,543,1
96975,1515250,-60,1039,207,109,981,30,-48,1047,-97,2
24352,380515,151,1009,346,781,527,70,77,961,339,0
59641,931906,-111,1019,178,90,972,-10,-9,980,-77,1
19661,307218,-111,1019,118,81,972,-10,-106,1000,-19,0
61422,959734,-50,1029,306,81,1009,181,-19,1085,-77,1
47610,743921,494,911,118,827,462,50,300,771,582,1
3673,57406,50,39,-960,-18,37,-979,9,28,-990,0
17249,269531,-90,1009,158,90,981,70,-106,1000,-29,0
83301,1301593,262,1147,247,545,1055,-70,-58,1171,-29,1
86193,1346781,-161,1156,267,409,944,0,-126,933,38,1
88507,1382937,-1767,1333,227,300,962,-161,-29,1009,300,1
41863,654125,40,1539,455,627,1231,70,-242,1019,-67,1
69622,1087859,-60,1058,207,109,1000,141,-126,971,-203,1
21193,331156,404,823,485,790,407,303,-48,1019,184,0
9394,146796,646,666,415,790,416,303,757,-57,-621,0
79759,1246250,-141,1009,198,100,981,10,-87,1019,-126,1
46634,728671,474,911,99,827,462,30,300,790,543,1
45125,705093,-181,1009,217,490,898,-90,-242,580,-582,1
86468,1351078,-70,1362,277,-809,546,50,58,914,77,1
17110,267359,-70,1009,188,100,1000,80,-97,1019,-29,0
90459,1413437,1343,901,405,-263,851,-20,-252,1514,-330,1
37399,584375,30,1019,287,1118,1379,-565,-223,1076,-38,1
36049,563281,30,1000,227,136,990,60,-58,1019,-67,1
45353,708656,494,901,49,809,472,-40,291,780,563,1
65196,1018703,-141,1009,257,163,962,60,-203,980,-106,2
80979,1265312,-151,1039,108,-372,833,80,29,961,-262,2
40332,630203,121,1029,287,127,990,191,-106,1057,-58,1
72686,1135734,-80,872,584,590,666,353,223,857,495,1
40443,631937,-161,1000,247,90,990,141,-300,1066,-87,1
88736,1386515,616,401,247,-509,1425,626,106,1257,38,1
77779,1215312,30,970,386,690,620,191,242,847,514,0
11674,182421,696,715,217,681,555,-212,766,-66,-611,0
74755,1168062,-70,852,594,590,675,353,213,876,485,1
76207,1190750,-90,862,584,600,666,323,223,866,466,0
43767,683875,-474,1500,396,-381,703,-30,29,914,-19,1
6245,97593,60,39,-980,-18,27,-1000,19,19,-980,0
16617,259656,-171,892,445,54,925,191,-19,1028,-19,0
86344,1349140,-171,1529,227,-645,490,0,48,914,38,1
139,2187,40,39,-970,0,0,0,0,0,0,0
39442,616296,141,990,207,-218,750,161,77,952,9,1
25091,392062,111,960,386,809,490,101,67,961,339,0
10824,169140,727,676,326,-18,18,-989,757,-57,-621,0
32027,500437,0,1029,257,345,953,20,-67,952,48,1
60250,941421,-191,1000,188,-18,990,10,-38,1009,-97,1
83001,1296906,-242,990,158,-27,990,-20,-77,1028,-58,1
35962,561921,131,1009,217,563,916,-141,48,923,-38,1
15385,240406,-90,1039,198,109,981,60,-116,1000,-38,0
28647,447625,-101,1009,247,90,981,90,-106,1009,-106,1
49631,775500,484,911,108,827,472,40,300,780,582,0
101980,1593453,-222,1421,435,-527,648,-50,-38,990,38,1
13537,211531,-111,1009,217,-63,1055,141,-1155,-657,-378,0
39946,624171,656,1480,643,-263,962,565,9,1038,-252,1
17422,272234,-90,1019,188,90,981,60,-116,1019,-38,0
13918,217484,-131,1019,217,90,981,80,-145,980,-87,0
88606,1384484,292,2362,178,1427,1620,-282,9,1390,-184,1
24773,387093,121,970,396,809,490,101,58,971,330,0
68740,1074078,-222,1019,9,45,981,-131,-87,1009,-116,1
52939,827187,-131,1058,138,790,490,-161,-446,704,126,2
78394,1224921,10,960,405,690,629,191,242,857,504,0
22079,345000,242,872,495,800,462,232,48,990,271,0
37783,590375,171,1078,207,281,1027,-30,-67,1076,-126,1
93008,1453265,151,911,504,745,537,242,67,1009,126,0
99329,1552031,959,254,227,-663,675,151,29,1038,-87,1
6717,104968,40,39,-950,-9,37,-979,543,-95,-825,0
6609,103281,30,39,-960,-18,27,-989,-106,-371,-951,0
31287,488875,-80,1049,217,-63,1009,181,-330,1180,-155,1
48251,753937,474,911,89,827,453,40,310,771,592,0
28036,438078,-101,1019,227,90,981,90,-97,1009,-77,0
89884,1404453,60,1431,39,745,1638,-171,223,1285,-233,2
98776,1543390,-10,1019,336,254,962,50,116,942,-145,2
14563,227562,-80,1029,207,136,972,60,-97,1009,19,0
80144,1252265,-131,1009,168,45,972,-30,-77,1009,-135,1
11451,178937,717,725,227,190,435,-1080,766,-47,-621,0
98198,1534359,161,1215,485,390,1046,141,106,1047,-203,1
14676,229328,-90,1009,217,136,972,70,-87,1009,-9,0
60361,943156,-252,931,366,-390,1055,282,106,971,-67,1
42062,657234,141,2068,267,1290,1435,-181,-19,1523,-368,1
7367,115125,70,117,-970,-54,83,-1000,-621,104,-757,0
53629,837968,-252,950,227,181,879,111,38,971,-165,1
53620,837828,484,284,89,-772,722,191,174,1161,-77,1
79542,1242859,-141,1009,207,109,981,10,-58,1028,-77,1
19868,310453,40,1009,118,281,953,0,-310,914,-242,0
51288,801390,-171,941,178,-209,1009,80,67,1038,-58,1
52826,825421,-484,1784,-19,281,1324,-20,-184,942,48,1
83882,1310671,-181,1009,287,18,981,171,-29,980,-58,1
65474,1023046,-50,1107,237,390,1222,20,-184,1047,-213,2
36675,573062,60,1039,128,190,972,-10,-38,1028,-48,1
85929,1342656,-171,1029,297,36,1129,222,29,1228,-242,1
92113,1439281,585,872,168,818,527,20,300,1019,0,1
10009,156406,737,19,633,-27,46,-989,776,-57,-621,0
105620,1650328,161,813,623,563,638,343,-941,266,165,0
68691,1073312,-151,1029,49,90,972,-171,-77,1019,-67,1
13442,210046,-80,1039,207,118,972,90,291,1047,310,0
82392,1287390,-191,1009,207,18,990,40,-87,1028,-67,1
106620,1665953,-454,382,-495,-409,296,-606,-728,390,563,0
77576,1212140,30,990,366,690,629,212,233,847,485,0
22270,347984,242,882,504,781,425,242,58,980,271,0
63513,992406,-10,852,613,627,611,414,165,847,553,1
88508,1382953,-1989,1196,-79,45,611,-181,-135,866,-19,1
30943,483500,-1898,1176,-39,1100,1018,-212,0,1085,77,1
54644,853828,-70,1039,237,163,953,121,-38,933,0,1
45537,711531,454,921,99,818,462,20,300,800,563,1
18965,296343,-121,1019,247,100,981,141,-116,1009,-77,0
36396,568703,30,1029,168,190,962,10,-58,1000,-77,1
80336,1255265,-90,1294,178,127,1101,60,-9,1009,-106,1
18834,294296,-90,1039,188,127,1000,10,-213,1019,-58,0
17663,276000,-111,1019,178,81,981,70,-97,1009,-29,0
16443,256937,-90,1019,178,90,990,40,-116,1028,-9,0
96308,1504828,-40,1000,247,127,981,80,-97,1009,-106,1
23160,361890,131,960,356,790,500,101,58,961,339,0
108869,1701093,80,19,-960,-18,27,-989,-38,-47,1019,0
67822,1059734,-181,1019,59,100,972,-131,-58,1009,-67,1
57671,901125,-616,696,-613,-790,814,212,106,1161,-213,2
22163,346312,232,892,495,790,472,242,48,980,281,0
109069,1704218,90,39,-940,-18,18,-959,-48,-38,1009,0
86343,1349125,-101,1372,148,-836,574,20,19,923,58,1
60112,939265,-60,1029,277,154,972,131,-165,1047,-29,1
89505,1398531,-3151,3764,643,1309,1675,-131,-29,780,0,2
73396,1146828,-80,852,584,590,666,343,213,876,495,1
60575,946500,-252,901,366,-63,907,60,-48,980,-126,2
44288,692015,40,1029,178,154,962,10,-38,1028,-38,1
7036,109953,40,49,-960,-18,27,-969,0,295,-1087,0
40427,631687,-121,1000,217,154,962,-10,-213,933,-106,1
108131,1689562,-121,29,1029,-18,37,-989,-38,-47,1019,0
35063,547875,70,1058,217,400,944,20,-97,933,-213,1
3374,52734,60,29,-940,-18,27,-989,9,9,-990,0
