,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Label
23108,-6.58e-06,-1.53e-07,-6.61e-05,-1.3e-06,-2.1e-05,-8.23e-05,0.018904,0.018904,0.018969999999999997,0.016112,0.016133,0.016215,0.0012295,0.00071156,0.0016186,0.0012026,0.00063501,0.001387,1.5881,1.5881,1.5878,1.5854,1.5853,1.5852,0.010927,-0.18205,0.040077999999999996,0.0040981,-0.28136,-1.1794,0.00088095,0.00088958,0.00095314,-0.00024733,-0.00022545,-6.47e-05,-0.74087,6.8189,4.593,-0.7389600000000001,2.1758,7.4256,-1.4995,-1.4995,-1.4994,-1.4982,-1.4982,-1.4983,5
52434,-9.520000000000001e-07,-1.29e-05,0.00025076,1.6100000000000002e-05,2.71e-05,7.840000000000001e-05,-0.036446,-0.036433,-0.036683,-0.013213999999999998,-0.013241999999999999,-0.013319999999999999,0.0025406,0.0014952,0.0042221,0.0024538,0.0014289,0.0044371,1.7174,1.7173,1.7171,1.7197,1.7196,1.7187,-0.023453,-0.078945,1.0097,-0.014853,-0.24341999999999997,0.66715,-0.0073725,-0.0073290000000000004,-0.006941800000000001,0.005239100000000001,0.005213000000000001,0.0053305,-0.64742,2.4442,9.2689,-0.6119100000000001,2.2298,5.0923,-1.5068,-1.5069,-1.5068,-1.4969999999999999,-1.4969999999999999,-1.4966,10
26956,-1.02e-06,-8.51e-07,2.52e-05,-6.23e-06,-1.51e-07,1.4300000000000002e-05,0.014622999999999999,0.014624000000000002,0.014599,-0.02992,-0.02992,-0.029934,0.00078546,0.0002334,0.00057759,0.00077337,0.00021169,0.00061512,0.9817600000000001,0.9817600000000001,0.98177,0.9822200000000001,0.9822200000000001,0.9822,0.0051012,-0.068494,0.61122,0.015013,-0.1688,0.42041999999999996,0.00042398,0.00044148,0.0004207,-0.0023236999999999997,-0.0023379,-0.0023188,-0.67789,3.8641,5.5807,-0.65661,3.7710000000000004,15.517999999999999,-1.4984,-1.4984,-1.4983,-1.4993,-1.4993,-1.4992,6
49092,-6.91e-06,1.0199999999999999e-05,3.98e-05,-8.06e-06,-3.13e-09,-7.240000000000001e-05,-0.03052,-0.03053,-0.03057,-0.017287999999999998,-0.017287999999999998,-0.017216,0.00108,0.00050062,0.00099859,0.0011259,0.00046341,0.001639,1.099,1.099,1.0988,1.1018,1.1018,1.1017,-2.3e-05,0.29791,0.6361899999999999,0.015121,-0.0037534999999999995,-1.7016,-0.0023285,-0.0023349,-0.0023929000000000003,-0.0049471,-0.0049393,-0.0047623000000000006,-0.65974,2.6687,5.8907,-0.71049,0.81037,27.945,-1.5008,-1.5008,-1.5009,-1.4980000000000002,-1.4980000000000002,-1.4981,10
14015,-5.83e-06,5.25e-07,-5.9999999999999995e-05,-5.54e-06,-1.3800000000000002e-05,1.05e-05,0.011249,0.011248000000000001,0.011308,-0.0008985,-0.00088474,-0.00089525,0.0022015999999999997,0.0013631,0.00324,0.0021563000000000003,0.0012014,0.0033117,1.2864,1.2863,1.2858,1.2916,1.2915,1.2908,-0.0043335,-0.35386,-0.057541999999999996,0.00043242,0.018137999999999998,0.36765,0.0047966,0.0048798999999999995,0.0044735,-0.005927600000000001,-0.0058786,-0.0060655,-0.71677,2.3817,3.3438,-0.69947,-0.14263,3.2645,-1.5041,-1.5041,-1.5035,-1.4947,-1.4947,-1.4947,3
30445,-2.07e-06,3.69e-05,0.00014202,-6.57e-07,4.47e-05,3.81e-05,0.0084635,0.008426600000000001,0.0082846,-0.021959,-0.022004,-0.022042,0.0026031999999999995,0.0016015,0.0068065,0.0026468000000000004,0.0015396,0.0040322,1.8923,1.8922,1.8913,1.8873,1.8873,1.8867,0.0027105999999999996,0.035551,0.7538,-0.02617,0.24743,0.2261,-0.012918,-0.012959,-0.013161,-0.0027986,-0.0028633000000000005,-0.0030033,-0.65383,1.6307,6.8501,-0.6471100000000001,2.7557,6.2724,-1.4969,-1.4969,-1.4962,-1.4998,-1.4998,-1.4995,6
42365,7.63e-06,-1.74e-05,3.19e-05,4.85e-06,-6.91e-05,-0.00014649,0.014196,0.014214,0.014182,0.012808000000000002,0.012877000000000001,0.013024,0.0030313000000000002,0.0018620999999999998,0.0040991000000000005,0.0029513,0.0016654,0.0033770000000000002,2.3191,2.3189,2.318,2.3163,2.3162,2.316,0.014691,-0.0329,0.7801100000000001,-0.0084499,-0.29644000000000004,-1.5293,-0.01105,-0.011045000000000001,-0.011063,0.0095074,0.009584,0.0096323,-0.50868,1.2085,4.492,-0.49283000000000005,1.0432,11.970999999999998,-1.5023,-1.5023,-1.5023,-1.4914,-1.4914,-1.4913,8
32651,1.59e-06,-1.51e-06,-1.9e-06,-1.58e-06,6.74e-06,9.72e-06,0.06376799999999999,0.063769,0.06377100000000001,0.11297,0.11297,0.11295999999999999,0.00079971,0.00025228,0.00046507,0.00079666,0.00027823,0.00056166,1.6881,1.6881,1.6881,1.6872,1.6872,1.6872,0.0005,-0.29115,-0.36280999999999997,0.0044148,0.60532,0.70841,0.005813800000000001,0.005818600000000001,0.005823399999999999,-0.0039211,-0.0039299,-0.0039749,-0.46548,5.9461,6.8803,-0.49536,8.6064,9.5019,-1.4963,-1.4963,-1.4963,-1.4983,-1.4983,-1.4982,7
52652,-1.04e-05,5.5799999999999994e-05,-0.00056285,-2.5e-06,7.7e-05,-8.01e-05,-0.023811000000000002,-0.023867,-0.023304,-0.032083999999999994,-0.032161,-0.032081,0.0028994,0.0017182000000000002,0.0062467,0.0029706,0.0023247,0.0033393,2.2712,2.2712,2.2703,2.2678,2.2674,2.2667,-0.0055854,0.097393,-2.2159999999999997,0.0026524,0.97772,-0.29339,0.00041369999999999997,0.00038757,-6.670000000000001e-05,-0.0047948999999999995,-0.0049081,-0.0049277,-0.50497,2.3598,20.660999999999998,-0.5260199999999999,10.359000000000002,3.9707,-1.5061,-1.5061,-1.5052,-1.4987,-1.4989,-1.4989,10
44530,-4.66e-06,-3.02e-05,-0.00020784,-1.46e-06,-1.1400000000000001e-05,9.520000000000001e-05,0.015755,0.015785,0.015993,-0.015704,-0.015693000000000002,-0.015788,0.0014746,0.0013052,0.0042753,0.0014210000000000002,0.00096366,0.002777,2.2167,2.2166,2.2161,2.2132,2.2131,2.2129,0.0144,-0.0096557,-1.5548,0.0055097,0.055644000000000006,1.0815,0.00050139,0.00049298,0.00026301,-0.00086408,-0.0008656,-0.00089853,-0.8344,15.995999999999999,12.255999999999998,-0.81583,10.799000000000001,9.9448,-1.5005,-1.5005,-1.5001,-1.5003,-1.5003,-1.5001,9
