param 1,param 2,param 3,param 4,param 5,param 6,param 7,param 8,param 9,param 10,param 11,param 12,param 13,param 14,param 15,param 16,param 17,param 18,param 19,param 20,param 21,param 22,param 23,param 24,param 25,param 26,param 27,param 28,param 29,param 30,param 31,param 32,param 33,param 34,param 35,param 36,param 37,param 38,param 39,param 40,param 41,param 42,param 43,param 44,param 45,param 46,param 47,param 48,param 49,param 50,param 51,param 52,param 53,Label
296,165,1,56,0,2,0.3,0.0,0.640312424,0,2,0.25,0.0,0.536190265,0,1,0.05,0.0,0.217944947,0,1,0.1,0.0,0.3,0,2,0.2,0.0,0.509901951,0,0,0,0,0,30,18,1,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4253181,40,472926,9,12,1589,273.29787230000005,155.0,347.168603,1,1589,160.1702128,72.0,291.1029151,0,669,85.31914894,16.0,152.10999750000005,12,1589,264.0212766,155.0,333.8891706,-619,1589,74.85106383,12.0,351.3169133,358,358,0,358,358,14,262,141,0,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,89
7170111,70,497000,9,0,2147,497.62,226.5,548.4629756,0,1219,196.56,104.5,258.1277327,0,1669,222.22,54.0,370.093085,0,2082,473.52,218.5,516.1881533,-1225,960,-25.66,-15.5,383.0886378,118,16,102,117,-86,28,118,257,0,24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9
236881,1172,36034,40,0,431,26.35201794,8.0,41.15473735,0,404,10.78923767,2.0,26.2106929,0,278,9.051569507,1.0,21.74123265,0,406,24.85650224,8.0,38.91985603,-125,404,1.737668161,0.0,31.40193316,0,0,0,0,0,17,167,11,0,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
155048,0,34292,18,0,1125,64.8828125,43.0,104.7489276,0,531,27.49609375,9.0,49.95654346,0,977,26.1953125,5.0,75.79521738,0,1004,61.61328125,40.0,96.72138455,-829,187,1.30078125,-3.0,74.72752170000003,27,3,24,25,-21,39,240,5,0,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
165002,0,25302,36,0,643,66.45,30.0,91.07720127,0,313,24.42272727,7.0,47.60885548,0,368,26.07272727,5.0,51.69054935,0,550,60.64545455,28.0,81.26081314,-252,313,-1.65,-2.0,62.50181997,178,12,106,158,-94,51,159,566,0,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
1055660,0,120305,18,0,918,162.1176471,99.0,163.88334530000003,0,597,76.55882353,21.5,124.2451383,0,576,44.66666667,9.5,81.85320832,0,910,154.1078431,90.0,156.93628700000005,-292,597,31.89215686,-6.5,147.9555383,304,23,49,257,-26,66,158,76,0,24,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3
441554,0,60660,4,0,2332,72.21640091,42.0,167.0961043,0,468,25.53302961,8.0,46.15151019,0,460,23.45785877,4.0,49.30785099,0,2176,69.60592255,41.0,156.817094,-426,468,2.075170843,-3.0,67.35278419,38,14,24,38,-10,27,51,32,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
672411,1,14221,9,0,419,29.29613734,14.0,47.50823586,0,313,10.57296137,2.0,28.77334914,0,366,11.2639485,2.0,29.25382974,0,415,28.27467811,13.0,46.6534765,-351,313,-0.6909871240000001,-1.0,39.84458817,11,0,1,10,-1,58,238,15,0,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1947129,7,242852,18,0,633,135.2727273,107.0,113.7944113,0,368,51.78030303,22.0,71.3150622,0,508,46.58333333,16.5,74.09678782,0,529,124.4772727,99.0,100.34497059999998,-401,368,5.196969697,-8.5,106.9785761,6,1,5,6,-4,40,17,2,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
16192,2911,210,27,0,8,1.235294118,0.0,2.197041106,0,5,0.558823529,0.0,1.287751722,0,2,0.205882353,0.0,0.5302281289999999,0,7,1.117647059,0.0,1.98175065,-2,5,0.352941176,0.0,1.233892763,1,1,0,1,1,6,247,1,0,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
209979,20,185,46,0,4,0.553672316,0.0,0.846194916,0,4,0.192090395,0.0,0.506839808,0,3,0.200564972,0.0,0.50634362,0,4,0.54519774,0.0,0.836620921,-3,4,-0.008474576,0.0,0.734490438,0,0,0,0,0,53,0,3,0,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40368,0,22418,18,0,202,29.56097561,18.0,32.56516827,0,96,14.06097561,4.0,21.10851612,0,72,8.731707317,1.0,14.62044074,0,103,26.07317073,18.0,23.93272099,-52,96,5.329268293,0.0,26.65362963,43,43,0,43,43,24,100,1,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
285320,0,5510,24,0,275,35.04054054,17.0,55.88512329,0,130,11.297297300000002,3.0,21.81911493,0,200,14.25675676,2.0,34.72091854,0,244,33.54054054,16.5,52.19743941,-163,130,-2.959459459,-2.0,40.33053943,20,1,6,18,-5,55,134,1,0,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
209071,0,444,55,0,163,3.461538462,1.0,11.2916017,0,54,1.206293706,0.0,4.560712691,0,73,1.20979021,0.0,5.072003434,0,135,3.174825175,1.0,9.689454065,-56,54,-0.003496503,0.0,6.11515271,4,0,4,4,-4,43,105,1,0,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2470711,36,271475,9,0,1449,193.4684874,129.5,210.4631474,0,1216,67.41176471,14.0,135.8279257,0,711,67.19327731,10.0,113.4566905,0,1361,188.7668067,128.0,202.9419605,-618,1216,0.218487395,-7.0,188.5562422,327,327,0,327,327,21,130,1399,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6
55275,0,1834,13,0,282,4.796747967,2.0,16.09253021,0,282,2.143631436,0.0,14.93231228,0,28,1.5176151759999998,0.0,3.198125934,0,282,4.536585366000001,2.0,15.92902245,-25,282,0.62601626,0.0,15.33955249,27,27,0,27,27,11,120,404,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,374
2046147,0,123685,9,0,1399,120.5497835,71.0,156.2744309,0,1105,45.6991342,13.0,106.5744987,0,890,36.11471861,9.0,70.41397256,0,1230,115.0909091,70.0,148.452874,-823,1105,9.584415584,-6.0,131.8245604,261,179,82,254,97,25,22,504,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,21
416948,0,57260,18,0,1266,90.23868313,52.5,112.6188473,0,993,34.01234568,10.0,67.37497072,0,1138,33.27366255,11.0,73.21312542,0,1174,85.90329218,50.0,106.8663876,-1010,993,0.738683128,-5.0,97.81627833,138,10,70,124,-60,51,56,358,0,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
98168,0,1843,36,0,390,32.40295359,21.0,40.11155425,0,344,13.38396624,4.0,26.96466347,0,195,10.9556962,3.0,22.07066086,0,374,30.51476793,20.0,37.78247748,-167,298,2.428270042,-1.0,33.77407131,2,2,0,2,2,4,151,57,0,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11
162,0,0,81,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,59,410,1,0,24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
64641,11220,849,30,0,35,3.923076923,2.0,7.705757472,0,24,1.5,0.0,4.676043693,0,30,1.961538462,0.0,5.761148184,0,34,3.538461538,2.0,7.551009963999999,-25,24,-0.461538462,0.0,6.984767874,0,0,0,0,0,5,53,1,0,24,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
292911,0,25073,24,0,207,41.83333333,22.0,46.88722231,0,152,16.0,4.5,28.46617699,0,164,16.07575758,3.0,30.17925099,0,184,39.67171717,22.0,43.79887813,-125,152,-0.075757576,-2.0,40.04806857,16,0,1,15,-1,72,259,6,0,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
579587,0,33116,18,0,528,71.01096491,47.0,71.03003048,0,477,28.41008772,9.0,52.96850921,0,497,24.84649123,6.0,44.65553477,0,511,68.19736842,46.5,68.60972511,-466,477,3.563596491,-4.0,71.52904201,86,21,65,86,-44,34,102,31,0,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
55157,1029,2727,35,0,38,1.963235294,1.0,5.155533988999999,0,22,0.625,0.0,2.117634293,0,31,0.926470588,0.0,3.298021584,0,34,1.6985294119999998,1.0,4.630969681,-24,6,-0.301470588,0.0,2.696184267,1,0,1,1,-1,29,14,1,0,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
209071,0,444,55,0,163,3.461538462,1.0,11.2916017,0,54,1.206293706,0.0,4.560712691,0,73,1.20979021,0.0,5.072003434,0,135,3.174825175,1.0,9.689454065,-56,54,-0.003496503,0.0,6.11515271,2,2,0,2,2,6,129,2,0,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
212881,49,25,16,0,357,51.88537549,29.0,55.62827202,0,273,18.45454545,4.0,35.04930053,0,162,17.20948617,2.0,30.79999854,0,280,49.1027668,25.0,50.66558296,-130,273,1.245059289,-1.0,46.74355259,133,52,81,126,-29,29,207,108,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
856554,0,28,16,0,233,53.18,25.0,64.00021562,0,228,15.24,3.0,34.70767062,0,228,16.24,0.0,40.81938755,0,231,52.12,25.0,62.93032337,-223,228,-1.0,0.0,56.34713835,19,19,0,19,19,24,126,12,0,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
683375,21076,16319,31,0,448,50.65743945,26.0,72.51190301,0,305,17.41522491,4.0,38.04778333,0,349,19.67820069,4.0,44.35820973,0,434,48.74394464,25.0,70.35409826,-314,305,-2.262975779,-2.0,57.84946501,42,25,17,42,8,27,337,399,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9
309914,13,5432,26,0,371,8.256147541,4.5,20.47494378,0,147,3.327868852,1.0,10.09803797,0,324,3.329918033,0.5,15.78024569,0,335,7.696721311,4.0,18.99164585,-277,147,-0.00204918,0.0,17.08027083,9,9,0,9,9,24,207,76,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
16272,0,311,24,0,32,6.565217391,5.0,6.012184945,0,24,2.217391304,0.0,4.071863236,0,14,2.310559006,0.0,3.494869398,0,31,6.279503106,5.0,5.871513693,-14,24,-0.093167702,0.0,5.847759291,31,0,14,31,-14,49,458,45,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
