param 1,param 2,param 3,param 4,param 5,param 6,param 7,param 8,param 9,param 10,param 11,param 12,param 13,param 14,param 15,param 16,param 17,param 18,param 19,param 20,param 21,param 22,param 23,param 24,param 25,param 26,param 27,param 28,param 29,param 30,param 31,param 32,param 33,param 34,param 35,param 36,param 37,param 38,param 39,param 40,param 41,param 42,param 43,param 44,param 45,param 46,param 47,param 48,param 49,param 50,param 51,param 52,param 53,Label
12996,0,58,68,0,21,5.345679012,5.0,4.08447979,0,16,2.179012346,0.0,3.150356282,0,13,1.432098765,0.0,2.629078943,0,19,5.1111111110000005,5.0,3.836150334,-11,16,0.74691358,0.0,4.621890651,17,2,3,14,-1,58,25,13,0,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83215,393,12259,18,0,71,12.13442623,10.0,10.37074835,0,71,4.629508197,2.0,7.760584401,0,51,4.71147541,1.0,7.275516958,0,71,11.78032787,9.0,10.11965819,-33,71,-0.081967213,-1.0,11.25136798,10,0,1,9,-1,68,351,11,0,24,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
663025,0,5954,24,0,759,56.57021277,35.0,96.49353614,0,338,19.6893617,8.0,37.69826021,0,714,23.63829787,4.0,81.30285529,0,748,54.34893617,34.0,94.68113086,-669,338,-3.94893617,-2.0,86.53360895,26,0,1,25,-1,72,235,13,0,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4349418,0,614043,9,0,1925,136.4705882,56.0,285.8853479,0,1267,70.64052288,23.0,151.9066885,0,986,54.67320261,0.0,138.48025890000002,0,1502,128.9084967,52.0,250.5781383,-678,1267,15.96732026,7.0,173.42182580000005,54,3,51,51,-48,47,121,42,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2942636,1,854,1,0,677,54.42105263,18.5,128.99574280000002,0,155,14.92105263,4.0,27.70985154,0,513,21.47368421,2.0,64.66095252,0,631,51.40789474,18.5,120.9419367,-358,95,-6.552631579,-1.0,56.20226506,676,9,167,631,-158,56,97,48,0,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4
326835,0,92354,18,0,612,88.42402827,54.0,107.53129409999998,0,506,36.61484099,8.0,62.96291515,0,517,30.71378092,5.0,66.02237056,0,534,83.65724382,49.0,99.66172028,-430,506,5.901060071,-2.0,86.64576414,263,2,42,232,-40,61,25,19,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
44314,0,6358,8,0,151,21.91666667,12.0,28.50662504,0,90,6.560897436,2.0,12.28805483,0,143,7.538461538,1.0,15.57421629,0,143,20.98397436,12.0,26.69143,-138,90,-0.977564103,-0.5,19.99798411,2,2,0,2,2,33,77,2,0,24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3739454,30262,29943,9,0,1673,123.0581395,30.0,254.2003813,0,1495,53.77325581,10.0,153.55603019999995,0,943,35.94767442,3.0,119.3529193,0,1563,116.0930233,27.0,242.4921781,-807,1495,17.825581399999994,-1.0,176.8899732,3,3,0,3,3,26,98,4,0,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
176923,0,4211,51,0,19,1.879781421,1.0,3.02932407,0,16,0.7540983609999999,0.0,1.846477116,0,15,0.568306011,0.0,1.454024329,0,16,1.6939890709999998,1.0,2.643543933,-14,16,0.18579235,0.0,2.320828781,0,0,0,0,0,23,0,1,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
104037,0,30,14,0,110,6.902135231,4.0,10.79999485,0,105,2.720640569,0.0,7.335277769,0,105,2.354092527,0.0,6.5623936139999985,0,106,6.574733096,4.0,10.39807,-100,105,0.366548043,0.0,9.840768847,1,1,0,0,1,41,74,1,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
